family,GV,MAP,M2.3,M2.6,M2.7,M2.9,M2.10,M2.11,MG,A9,A10,A11,A12,A13,A14,A15,IA5,IA6,IA7,IA8,IA626,IA10
M1,1,2,3,1,0,0,0,1,2,2,1,2,0,2,0,3,1,3,1,2,1,1
M2,1,2,1,2,0,0,0,3,2,2,2,2,0,2,1,2,2,2,3,2,2,1
M3,1,2,2,2,3,0,0,0,2,2,1,2,0,1,0,3,1,3,1,1,2,0
M4,1,2,1,3,2,0,1,1,2,2,0,2,0,1,2,2,2,3,0,2,2,1
M5,1,2,0,2,3,0,1,1,2,2,0,2,0,0,1,3,2,3,0,1,2,1
M6,1,1,0,1,0,3,0,2,1,1,0,2,0,3,2,0,1,2,0,3,0,0
M7,0,1,2,2,0,1,0,0,2,2,0,2,0,2,2,2,1,2,0,2,2,0
M8,1,3,1,0,0,0,1,2,1,1,3,2,0,2,0,2,2,1,3,2,0,2
M9,1,2,1,0,0,1,1,1,1,1,1,3,1,3,2,0,2,1,2,3,1,2
M10,1,1,0,2,0,2,0,1,2,1,0,1,0,2,3,0,2,2,0,2,2,0
M11,1,1,1,2,2,0,1,1,2,2,0,1,3,1,1,2,2,2,1,1,3,2
M12,1,2,0,1,2,0,2,1,2,2,2,2,0,2,0,2,2,2,2,1,1,1
